	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
SLC76699	16	7	10	5	8	13	4	8	10	24	18	24	4	17	6	25	19	4	13	4
MYC15881	53	63	29	141	225	59	189	47	44	36	219	148	113	92	183	175	69	47	52	279
EGFR75095	20	36	18	54	22	31	45	29	42	15	16	14	35	7	16	19	18	11	36	22
MT61714	34	4	3	1	11	3	6	10	17	12	21	3	1	7	6	7	4	19	11	1
IL24601	1	4	1	1	2	3	8	1	6	9	0	3	17	3	2	5	0	3	1	6
SLC14167	10	2	11	2	14	13	13	10	7	5	12	13	0	0	6	16	6	15	2	2
TNF7937	1	8	2	6	4	11	4	3	6	9	5	3	7	19	3	3	2	3	8	3
MYC30762	0	4	4	4	13	3	2	11	2	16	2	12	6	2	8	7	10	2	5	5
EGFR56608	4	1	4	2	2	2	2	0	4	4	2	7	10	5	0	5	4	6	0	8
KRT49915	6	3	18	16	10	2	3	4	6	6	13	15	13	2	9	0	3	2	5	12
MAPK21867	2	8	11	8	19	1	8	8	10	8	5	12	2	7	0	6	1	1	2	3
BRCA94775	0	0	3	4	2	4	0	2	0	0	3	2	2	6	0	0	2	3	0	2
IL98062	7	6	1	8	14	17	4	11	34	4	3	11	16	19	10	1	20	33	2	3
TP77997	10	51	46	67	15	98	21	23	32	35	79	47	39	25	50	26	80	24	52	7
IL31885	3	7	8	29	12	32	5	29	13	37	4	12	20	34	9	15	3	14	5	29
SLC80878	14	2	5	8	2	0	6	5	0	5	5	5	4	3	5	8	11	5	7	8
EGFR21420	40	16	15	5	25	12	15	17	3	19	8	10	4	33	12	11	22	49	14	7
SLC34899	14	12	17	55	18	9	4	9	20	9	8	1	9	2	26	9	20	30	2	13
ZNF57361	0	2	2	6	12	9	6	15	6	8	6	12	5	1	4	9	6	4	6	1
IL61717	9	0	4	17	6	3	8	11	4	12	4	17	7	12	6	16	14	14	13	4
GPR44546	0	1	5	0	3	3	10	10	5	8	2	2	3	1	11	1	4	5	1	2
MAPK66163	32	25	18	70	33	26	17	3	10	8	42	18	2	25	27	45	2	8	14	32
TP31615	12	13	10	19	7	15	14	0	9	1	21	21	32	24	31	21	8	5	3	9
MYC3820	66	75	61	20	81	28	4	9	37	29	53	45	28	26	108	115	19	42	64	20
KRT18280	2	7	2	3	3	3	9	13	3	11	7	1	3	5	2	5	4	15	3	3
TNF34465	8	39	21	1	24	33	42	21	4	52	19	20	44	49	28	21	22	21	13	55
MYC22696	6	1	4	3	7	24	2	7	10	13	9	18	14	3	5	3	22	0	8	12
CXCL56919	4	0	2	3	1	4	0	0	2	0	2	1	0	2	2	0	0	1	0	1
KRT25596	15	12	15	57	12	27	67	31	0	47	6	4	6	29	42	49	38	17	76	74
HLA29977	3	1	2	6	0	6	1	1	3	6	9	6	3	3	5	6	3	6	9	4
MT22335	3	1	2	7	4	8	3	2	2	1	5	1	1	6	1	2	1	6	0	1
GPR23440	2	6	1	3	1	2	0	0	0	1	3	3	3	6	3	1	5	3	0	0
CD23501	41	118	57	144	86	50	55	48	39	88	149	107	53	129	75	46	73	65	93	45
KRT60977	43	54	27	47	27	62	29	3	26	4	86	21	14	41	11	45	32	25	81	40
KRT11048	130	102	116	5	106	60	19	107	73	25	82	132	138	34	41	105	39	20	52	162
ZNF56609	2	57	70	78	80	8	50	7	23	34	112	56	10	17	119	14	47	88	12	32
TNF99567	115	76	89	158	40	17	176	59	155	140	345	67	52	37	11	80	164	41	43	49
TNF61102	68	94	58	39	50	23	131	110	20	99	167	174	9	63	42	17	80	26	237	22
CXCL21903	61	8	32	15	27	40	4	18	26	5	18	30	18	27	4	13	11	2	18	18
TP77242	9	9	10	11	5	8	42	17	20	1	21	17	11	14	4	31	11	11	20	27
BRCA54983	8	23	25	10	13	27	13	8	19	5	5	16	17	24	16	34	12	17	21	22
SLC94887	5	0	3	11	3	2	1	7	2	4	2	0	1	1	4	4	5	7	3	3
CXCL94396	4	6	9	1	2	6	9	3	9	5	7	10	0	7	1	2	9	5	14	10
CXCL83967	9	50	19	25	18	14	19	29	5	33	36	12	19	13	8	14	13	36	43	5
MYC27367	15	5	1	9	6	16	15	10	4	7	1	25	1	6	5	6	7	23	9	2
HLA15885	1	27	18	33	66	24	10	25	2	15	18	60	31	20	15	54	18	39	47	7
SLC72464	182	60	221	65	120	208	41	28	48	40	53	109	78	50	50	85	240	73	67	96
IL20103	2	17	11	16	7	14	10	3	3	2	12	9	11	8	7	13	18	18	2	1
MAPK69485	4	26	10	20	24	5	18	6	12	34	26	15	3	6	16	14	17	12	6	4
CXCL80759	0	1	0	0	0	1	0	4	0	2	1	6	4	0	2	0	0	1	0	5
ZNF56426	2	6	3	4	9	5	1	4	1	4	2	2	4	3	2	2	9	3	3	2
EGFR40064	24	18	1	28	10	14	8	24	24	16	28	34	24	15	29	13	18	33	29	10
TNF70206	5	9	9	4	2	13	6	0	4	4	1	3	7	6	0	8	5	5	2	1
TNF18068	9	1	5	6	1	2	0	11	6	0	3	6	4	3	7	5	4	2	5	3
EGFR52389	47	31	6	8	16	9	6	34	13	25	35	15	12	8	38	26	33	16	36	15
GPR71525	14	71	21	14	20	12	62	10	17	12	4	15	22	19	1	15	6	39	16	34
GPR63559	25	12	14	7	4	21	22	29	17	29	7	19	16	31	22	14	7	7	37	18
CD81993	24	7	25	12	6	4	30	17	27	37	6	34	21	2	33	55	34	10	10	60
MT85776	26	96	36	9	46	11	47	26	29	26	45	3	10	37	24	37	26	48	52	19
MYC71663	47	34	94	32	93	23	33	13	81	169	50	20	34	131	59	68	29	19	60	111
IL40713	15	6	23	11	3	7	4	10	8	19	1	15	27	32	4	13	4	5	2	17
MT21065	8	14	35	5	29	16	23	44	32	12	13	25	19	24	26	21	18	4	26	12
EGFR65630	28	26	8	3	18	9	26	13	25	53	17	25	46	33	30	50	36	28	22	37
MAPK50928	43	43	40	48	3	38	44	64	84	54	56	19	60	66	40	40	49	55	45	25
IL2452	5	0	4	5	9	5	0	1	3	6	6	2	4	3	5	1	1	2	0	0
SLC87157	31	18	9	25	12	7	22	10	14	18	22	16	2	6	25	18	18	25	13	25
ZNF24338	10	16	7	11	8	21	12	9	42	12	8	16	3	30	15	44	12	4	39	44
KRT63124	27	83	56	16	43	39	13	46	59	16	30	69	21	15	48	23	68	26	58	25
ZNF748	7	1	10	3	2	1	2	1	6	3	3	1	2	2	2	4	3	1	4	2
ZNF45668	3	6	19	13	7	9	4	21	22	1	6	12	6	6	13	8	8	7	6	5
TP43760	69	33	32	49	26	78	20	1	2	26	25	60	51	45	25	55	24	4	20	56
EGFR23060	32	21	18	21	52	12	8	20	39	19	30	4	24	13	12	30	16	24	7	1
SLC1991	11	11	13	16	11	8	0	30	5	3	3	10	2	9	2	5	2	8	9	1
TP2686	28	20	10	61	27	8	34	8	16	18	18	24	5	18	7	15	41	41	9	17
MAPK94473	47	36	53	52	46	35	42	60	24	8	32	29	40	50	90	82	51	22	14	58
CD42767	20	67	4	30	23	7	21	22	4	62	13	37	28	26	23	127	49	87	39	107
BRCA52953	91	170	125	115	210	120	22	118	97	270	20	68	103	81	85	82	171	26	136	78
MYC17229	19	11	6	2	2	8	3	7	1	2	1	3	10	15	5	9	15	11	3	9
IL92396	1	8	0	3	2	3	4	3	5	0	6	5	4	4	4	3	4	6	3	4
MAPK25679	8	26	29	4	7	25	16	4	19	20	18	7	5	3	13	8	4	12	12	14
CD3702	4	100	22	60	66	60	43	76	113	143	22	34	87	99	44	57	118	63	45	64
MYC29583	16	11	22	9	21	45	3	14	34	7	3	6	36	16	5	6	17	30	9	18
CXCL91826	35	8	6	16	42	7	33	7	18	20	4	15	35	9	8	4	45	30	26	8
GPR39931	4	4	11	4	11	13	6	1	8	2	4	1	3	1	4	9	7	3	4	2
TNF46783	1	8	6	3	3	8	7	13	7	21	6	9	1	0	4	3	5	16	6	2
MYC24144	43	55	15	26	20	16	41	28	38	35	15	17	20	19	6	51	42	29	12	30
EGFR48254	11	47	67	47	70	140	59	88	36	45	30	113	60	68	16	115	80	96	88	10
SLC78050	2	8	7	0	9	3	9	16	0	0	8	7	2	11	5	9	12	4	4	5
CXCL10318	3	2	4	1	6	9	3	1	3	0	2	3	1	3	4	1	5	1	6	3
BRCA69689	6	13	15	0	2	1	10	6	7	1	5	10	10	0	7	0	6	12	9	1
CXCL27983	13	24	8	18	4	16	9	19	31	59	10	54	27	12	36	3	6	12	14	16
MYC67553	5	10	1	3	6	9	1	4	5	2	4	0	5	2	0	5	4	1	7	2
EGFR80278	16	6	13	9	2	1	7	6	7	8	14	16	8	13	7	16	15	0	12	10
CD16946	1	4	1	5	0	1	0	3	3	1	2	5	2	1	2	1	0	2	2	1
MYC89186	4	13	8	22	26	27	13	15	3	67	12	7	2	13	12	3	27	19	22	42
BRCA80698	6	27	17	2	20	21	19	9	5	18	12	9	32	10	26	6	8	24	21	35
ZNF12284	22	6	7	23	7	6	20	22	21	10	14	18	3	12	41	13	11	8	17	9
MAPK48960	16	12	19	34	1	23	11	15	28	18	3	33	0	8	18	20	9	14	14	24
IL489	7	21	2	45	3	21	13	18	45	7	8	5	4	16	9	45	17	33	11	16
HLA32575	5	10	72	11	19	25	9	8	15	9	6	31	27	48	13	8	12	9	10	28
TP90928	51	17	50	27	37	31	15	2	55	28	12	68	28	51	32	11	42	3	17	7
MAPK67367	29	115	145	88	10	51	28	9	42	36	38	103	28	36	58	24	47	65	64	29
MT28760	13	17	18	30	4	9	12	29	9	15	14	43	3	8	6	12	19	12	7	21
HLA55509	4	4	3	3	6	3	7	2	4	5	7	5	3	5	5	3	8	4	1	8
CXCL31891	9	13	6	1	5	13	15	7	1	7	6	12	8	2	16	21	2	4	5	2
GPR39275	5	19	53	8	35	20	34	22	24	21	34	27	17	17	45	12	23	11	40	39
SLC89896	9	15	8	5	6	5	3	10	14	4	3	19	7	9	26	28	8	4	24	1
TP77955	2	6	0	2	2	3	0	2	0	3	1	2	6	4	4	2	2	6	3	3
KRT84877	5	26	16	14	29	3	4	14	21	19	15	6	22	13	21	23	22	29	37	11
IL49232	10	14	29	26	5	67	4	14	23	41	8	10	23	12	9	11	2	6	12	29
BRCA48338	9	2	4	7	4	8	6	10	14	6	4	11	8	14	11	14	1	14	3	7
TP11299	9	16	7	2	4	8	4	11	4	7	5	10	6	7	10	0	0	6	1	2
HLA55681	16	2	12	13	26	1	9	10	5	4	19	10	5	1	5	15	6	4	6	10
IL4015	9	8	31	28	51	47	30	31	43	10	38	14	32	26	23	36	2	31	15	8
TNF20996	8	14	1	4	2	3	1	2	5	3	1	4	4	7	0	5	1	15	7	0
KRT97117	104	253	46	30	56	134	62	154	83	90	286	38	152	94	27	114	179	69	123	144
MT37279	32	28	3	19	5	35	39	95	17	38	10	15	20	26	45	26	75	9	21	18
SLC14236	3	12	23	15	30	29	8	13	47	16	2	9	13	8	58	5	27	8	6	18
GPR85038	13	2	5	8	10	6	3	5	11	8	13	8	0	4	7	10	11	1	1	14
EGFR45211	14	7	7	4	17	3	21	13	26	21	7	20	3	17	8	22	2	18	4	7
KRT15716	19	11	18	22	12	3	21	13	31	6	11	22	12	12	11	44	11	18	32	7
CD52432	14	15	17	18	28	9	14	5	18	21	2	31	14	2	18	39	13	27	5	3
TP46458	6	18	11	5	0	6	10	19	22	1	10	9	9	2	4	6	11	7	18	22
CXCL33233	6	5	25	35	60	18	38	86	50	27	26	31	13	34	45	60	68	76	61	60
MAPK7258	41	53	64	361	99	138	151	154	300	118	16	46	209	106	77	63	75	175	27	84
EGFR89723	80	141	64	86	100	85	96	36	20	208	109	154	60	102	62	121	154	51	98	166
BRCA57218	5	19	15	11	4	34	0	11	3	12	11	41	10	5	4	5	7	6	11	18
IL5703	4	3	9	8	6	17	1	1	7	11	9	10	7	4	7	2	2	11	12	6
IL48278	0	1	5	7	4	16	6	5	0	2	6	8	20	9	15	1	8	4	9	4
MT78102	4	3	13	1	6	5	2	2	7	7	5	9	7	6	12	11	6	7	13	3
KRT17584	9	8	14	3	5	1	9	2	1	9	3	2	4	2	2	4	10	3	7	0
BRCA5637	6	10	4	8	7	5	4	3	4	8	0	0	8	1	5	10	6	10	14	3
TP91140	7	58	29	50	64	52	5	56	63	61	97	17	23	21	51	8	16	74	23	46
ZNF54006	18	8	13	31	8	10	19	23	8	8	14	25	3	7	14	30	20	9	19	22
GPR31644	13	7	40	22	22	38	28	13	16	16	7	10	22	50	51	31	5	16	55	11
TNF72689	16	39	25	9	28	60	41	18	36	8	35	7	1	41	11	15	11	1	21	25
MYC92225	45	26	6	6	3	16	25	5	36	48	27	14	31	8	28	6	29	25	49	9
MYC16685	5	6	8	0	2	12	7	0	6	1	2	7	16	8	19	1	2	11	7	10
TNF95669	6	7	7	4	17	3	13	2	3	16	18	9	4	17	11	3	7	14	18	6
CXCL47718	8	8	4	4	2	4	7	16	6	15	10	4	4	9	4	13	4	5	10	3
KRT16888	2	2	7	2	0	2	0	7	3	6	2	7	2	6	12	13	0	3	1	7
MAPK82792	3	6	3	6	1	14	3	1	3	1	6	0	1	2	3	3	2	2	6	6
EGFR82002	7	1	2	2	1	6	2	1	0	3	6	2	0	2	1	5	5	1	2	6
ZNF87476	7	2	5	7	11	16	0	5	15	8	4	16	5	8	16	21	13	5	12	2
IL63238	2	2	1	3	3	1	3	1	3	9	0	1	1	8	4	12	7	7	6	1
SLC31245	5	2	5	0	14	6	1	6	7	2	2	3	9	3	6	7	11	5	8	3
TNF42433	0	0	5	11	0	6	2	3	4	3	1	10	10	14	5	1	1	0	8	22
BRCA4881	4	3	28	64	16	39	4	22	6	15	12	9	17	19	32	27	16	13	31	22
GPR71322	15	13	11	15	8	8	10	5	21	3	28	10	6	21	29	12	9	4	12	18
KRT5203	7	14	17	8	5	10	3	22	5	7	9	14	5	11	2	14	7	11	12	16
TP57178	20	1	4	6	15	14	0	15	51	3	4	24	30	12	3	11	0	5	30	14
MAPK11001	3	13	8	4	10	6	4	1	6	6	4	5	2	1	3	25	8	12	7	1
SLC81947	25	16	25	29	31	10	59	29	15	24	29	37	18	34	36	24	69	48	68	7
MT69099	43	11	14	38	30	32	3	9	35	11	50	12	15	6	24	11	42	23	19	22
TNF85268	2	26	28	9	14	26	4	2	21	7	58	18	18	18	5	4	12	4	17	18
ZNF60956	7	20	22	3	8	23	25	10	6	4	17	25	9	16	17	10	5	15	12	10
BRCA43900	50	20	41	14	31	19	17	3	22	22	13	42	19	32	3	53	5	10	20	33
TP61163	12	6	13	0	2	1	4	2	2	11	3	15	0	5	8	8	15	1	23	5
CXCL65609	1	1	27	20	5	23	12	12	11	4	0	10	8	4	12	7	24	5	5	7
CXCL85925	14	114	169	21	73	23	21	67	51	79	76	68	101	19	83	38	24	69	21	11
EGFR9857	11	16	2	10	5	7	4	34	19	11	8	30	8	13	9	9	20	2	4	5
MYC70949	14	8	5	2	11	22	13	12	9	8	6	13	10	7	7	12	4	29	11	4
MT15178	42	13	28	13	15	25	33	25	53	35	18	13	31	26	27	11	10	14	7	16
MAPK11243	2	2	5	3	3	4	10	4	5	1	1	20	4	4	2	2	8	5	4	3
CD36142	1	1	5	2	1	1	1	0	3	1	1	1	6	2	3	3	2	0	0	3
MT5313	21	17	6	2	10	4	7	18	16	2	6	23	2	15	8	8	3	26	10	16
ZNF68564	8	1	2	6	17	14	5	8	10	14	0	10	8	10	10	12	2	5	4	1
CXCL2906	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0
CXCL90315	9	17	20	12	7	5	27	3	11	13	5	7	9	22	3	13	8	3	6	15
SLC49953	4	2	5	2	10	0	1	3	1	1	0	5	2	3	0	1	0	0	2	1
HLA12616	0	0	2	3	3	2	2	1	1	0	1	3	5	3	2	1	2	0	3	0
GPR44756	10	14	35	5	19	8	33	26	9	17	11	26	27	18	58	17	22	26	30	26
CD55381	18	13	14	24	21	38	23	16	3	21	2	15	45	31	16	3	12	6	5	18
EGFR28472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC12485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC45477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT39543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC11182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT32356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP78077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR48258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR75459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK91946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNF99752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK74212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR30442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD11304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP78252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA13641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD32634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK79886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL32364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
